Species_Latin,match.IOC,synonyms,Species_Common,Treename,Family,PassNonPass,Passerine_Clade1,Passerine_OscineSuboscine,Order,SearcherID,Evidence_Type,Evidence_Details,Female_Territoriality,Territorial_Period,Territory_Classification,Justification_Summary,References,Other_Notes,Territory_ClassificationYL,Territory_ClassificationEW,IT_project_classification_from_BNA,JPD_notes,PigotTobias_Territoriality,TerritoryType,Territory.Min,Territory.Max
Vermivora bachmanii,35457,Vermivora bachmanii,Bachman's Warbler,Vermivora_bachmanii,Parulidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5,,5,missing YL,,5,5,5
Aimophila strigiceps,34657,Rhynchospiza strigiceps;Aimophila strigiceps   ,Stripe-capped Sparrow,Aimophila_strigiceps,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Arremonops tocuyensis,34812,Arremonops tocuyensis,Tocuyo Sparrow,Arremonops_tocuyensis,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Arremon castaneiceps,34892,Arremon castaneiceps;Lysurus castaneiceps,Olive Finch,Arremon_castaneiceps,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Atlapetes albinucha,34916,Atlapetes albinucha,White-naped Brush-finch,Atlapetes_albinucha,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Atlapetes latinuchus,34937,Atlapetes latinuchus,Yellow-breasted Brush-finch,Atlapetes_latinuchus,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Arremon semitorquatus,34829,Arremon semitorquatus,Half-collared Sparrow,Arremon_semitorquatus,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Aimophila mystacalis,34667,Peucaea mystacalis;Aimophila mystacalis,Bridled Sparrow,Aimophila_mystacalis,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Pselliophorus tibialis,34986,Pselliophorus tibialis;Atlapetes tibialis    ,Yellow-thighed Finch,Pselliophorus_tibialis,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Atlapetes melanolaemus,34979,Atlapetes melanolaemus,Black-faced Brush-finch,Atlapetes_melanolaemus,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Arremonops conirostris,34816,Arremonops conirostris,Black-striped Sparrow,Arremonops_conirostris,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Aimophila notosticta,34715,Aimophila notosticta,Oaxaca Sparrow,Aimophila_notosticta,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Torreornis inexpectata,34716,Torreornis inexpectata,Cuban Sparrow,Torreornis_inexpectata,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Aimophila rufescens,34707,Aimophila rufescens,Rusty Sparrow,Aimophila_rufescens,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Aimophila ruficauda,34660,Peucaea ruficauda;Aimophila ruficauda,Stripe-headed Sparrow,Aimophila_ruficauda,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Atlapetes semirufus,34902,Atlapetes semirufus,Ochre-breasted Brush-finch,Atlapetes_semirufus,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Arremon brunneinucha,34854,Arremon brunneinucha;Atlapetes brunneinucha;Lysurus brunneinucha  ,Chestnut-capped Brush-finch,Arremon_brunneinucha,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Arremon schlegeli,34846,Arremon schlegeli,Golden-winged Sparrow,Arremon_schlegeli,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Aimophila humeralis,34666,Peucaea humeralis;Aimophila humeralis,Black-chested Sparrow,Aimophila_humeralis,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Atlapetes melanocephalus,34926,Atlapetes melanocephalus,Santa Marta Brush-finch,Atlapetes_melanocephalus,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Atlapetes tricolor,34934,Atlapetes tricolor,Tricoloured Brush-finch,Atlapetes_tricolor,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Arremon flavirostris,34832,Arremon flavirostris,Saffron-billed Sparrow,Arremon_flavirostris,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Arremonops chloronotus,34813,Arremonops chloronotus,Green-backed Sparrow,Arremonops_chloronotus,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Atlapetes pileatus,34895,Atlapetes pileatus,Rufous-capped Brush-finch,Atlapetes_pileatus,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Arremon aurantiirostris,34837,Arremon aurantiirostris,Orange-billed Sparrow,Arremon_aurantiirostris,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Aimophila stolzmanni,34656,Rhynchospiza stolzmanni;Aimophila stolzmanni   ,Tumbes Sparrow,Aimophila_stolzmanni,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Arremon taciturnus,34824,Arremon taciturnus,Pectoral Sparrow,Arremon_taciturnus,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Aimophila sumichrasti,34668,Peucaea sumichrasti;Aimophila sumichrasti,Cinnamon-tailed Sparrow,Aimophila_sumichrasti,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Atlapetes pallidinucha,34927,Atlapetes pallidinucha,Pale-naped Brush-finch,Atlapetes_pallidinucha,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Atlapetes leucopis,34936,Atlapetes leucopis,White-rimmed Brush-finch,Atlapetes_leucopis,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Pipilo albicollis,34760,Melozone albicollis;Kieneria albicollis;Pyrgisoma albicolle;Pipilo albicollis  ,White-throated Towhee,Pipilo_albicollis,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Aimophila carpalis,34669,Peucaea carpalis;Aimophila carpalis,Rufous-winged Sparrow,Aimophila_carpalis,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,5,missing EW,strong,5,5,5
Pipilo fuscus,34764,Melozone fusca;Kieneria fusca;Pyrgisoma fuscum;Pipilo fuscus   ,Canyon Towhee,Pipilo_fuscus,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,5,missing EW,strong,5,5,5
Aimophila quinquestriata,34635,Amphispiza quinquestriata;Aimophila quinquestriata ,Five-striped Sparrow,Aimophila_quinquestriata,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,5,missing YL,strong,5,5,5
Arremonops rufivirgatus,34802,Arremonops rufivirgatus,Olive Sparrow,Arremonops_rufivirgatus,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,5,missing YL,strong,5,5,5
Melozone leucotis,34797,Melozone leucotis,White-eared Ground-sparrow,Melozone_leucotis,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,5,,,,strong,5,5,5
Pipilo aberti,34784,Melozone aberti;Kieneria aberti;Pyrgisoma aberti;Pipilo aberti   ,Abert's Towhee,Pipilo_aberti,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,5,,,,strong,5,5,5
Chlorospingus semifuscus,35028,Chlorospingus semifuscus,Dusky Bush-tanager,Chlorospingus_semifuscus,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,4,,,,none,5,5,5
Ammodramus nelsoni,34565,Ammodramus nelsoni;Ammospiza nelsoni ,Nelson's Sparrow,Ammodramus_nelsoni,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,,,1,missing YL,weak,5,5,5
Pezopetes capitalis,34894,Pezopetes capitalis,Large-footed Finch,Pezopetes_capitalis,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5,,,,weak,5,5,5
Zonotrichia atricapilla,34503,Zonotrichia atricapilla,Golden-crowned Sparrow,Zonotrichia_atricapilla,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,,,5,missing YL,weak,5,5,5
Spizella arborea,34601,Spizelloides arborea;Passerella arborea;Spizella arborea    ,American Tree Sparrow,Spizella_arborea,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,,,5,missing YL,weak,5,5,5
Zonotrichia querula,34495,Zonotrichia querula,Harris's Sparrow,Zonotrichia_querula,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,,,5,missing YL,weak,5,5,5
Zonotrichia capensis,34464,Zonotrichia capensis,Rufous-collared Sparrow,Zonotrichia_capensis,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5,,,,weak,5,5,5
Ammodramus humeralis,34590,Ammodramus humeralis,Grassland Sparrow,Ammodramus_humeralis,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5,,,,weak,5,5,5
Atlapetes pallidiceps,34968,Atlapetes pallidiceps,Pale-headed Brush-finch,Atlapetes_pallidiceps,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5,,,,weak,5,5,5
Melospiza melodia,34416,Melospiza melodia;Zonotrichia melodia,Song Sparrow,Melospiza_melodia,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,5,,5,,strong,5,5,5
Spizella passerina,34604,Spizella passerina,Chipping Sparrow,Spizella_passerina,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5,,5,,weak,5,5,5
Zonotrichia leucophrys,34496,Zonotrichia leucophrys,White-crowned Sparrow,Zonotrichia_leucophrys,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,4 or 5,,5,,weak,5,5,5
Junco phaeonotus,34523,Junco phaeonotus,Yellow-eyed Junco,Junco_phaeonotus,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5,,5,missing YL,weak,5,5,5
Hypocryptadius cinnamomeus,32169,Hypocryptadius cinnamomeus,Cinnamon Ibon,Hypocryptadius_cinnamomeus,Passeridae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Passer iagoensis,32212,Passer iagoensis,Iago Sparrow,Passer_iagoensis,Passeridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3 or 4,,,,none,5,5,5
Passer domesticus,32179,Passer domesticus,House Sparrow,Passer_domesticus,Passeridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Passer castanopterus,32200,Passer castanopterus,Somali Sparrow,Passer_castanopterus,Passeridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3?,,,,none,5,5,5
Passer montanus,32252,Passer montanus,Eurasian Tree Sparrow,Passer_montanus,Passeridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,4,,,,none,5,5,5
Passer luteus,32265,Passer luteus,Sudan Golden Sparrow,Passer_luteus,Passeridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Passer hispaniolensis,32196,Passer hispaniolensis,Spanish Sparrow,Passer_hispaniolensis,Passeridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Passer simplex,32247,Passer simplex,Desert Sparrow,Passer_simplex,Passeridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Passer moabiticus,32208,Passer moabiticus,Dead Sea Sparrow,Passer_moabiticus,Passeridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3?,,,,none,5,5,5
Montifringilla taczanowskii,32307,Onychostruthus taczanowskii;Montifringilla taczanowskii;Pyrgilauda taczanowskii    ,White-rumped Snowfinch,Montifringilla_taczanowskii,Passeridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5,,,,weak,5,5,5
Petronia petronia,32271,Petronia petronia,Rock Sparrow,Petronia_petronia,Passeridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,"Pairs (Tibetan) were monogamous and territorial behaviors were absent (1), which differed from European populations, where Rock Sparrows show a series of mating systems and display strong territoriality around the nest site (4). (Li & Lu, 2012)",,,,weak,5,5,5
Montifringilla ruficollis,32311,Pyrgilauda ruficollis;Montifringilla ruficollis,Rufous-necked Snowfinch,Montifringilla_ruficollis,Passeridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,1,,,,weak,5,5,5
Montifringilla nivalis,32294,Montifringilla nivalis,White-winged Snowfinch,Montifringilla_nivalis,Passeridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,Look through book again,,,,weak,5,5,5
Petronia brachydactyla,32270,Carpospiza brachydactyla;Petronia brachydactyla  ,Pale Rock Sparrow,Petronia_brachydactyla,Passeridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5,,,,weak,5,5,5
Petronia xanthocollis,32291,Gymnoris xanthocollis;Gymnornis xanthocollis;Petronia xanthocollis ,Chestnut-shouldered Petronia,Petronia_xanthocollis,Passeridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3 or 4,,,,,5,5,5
Peucedramus taeniatus,33164,Peucedramus taeniatus,Olive Warbler,Peucedramus_taeniatus,Peucedramidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Foudia flavicans,32588,Foudia flavicans,Rodrigues Fody,Foudia_flavicans,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Malimbus malimbicus,32555,Malimbus malimbicus,Crested Malimbe,Malimbus_malimbicus,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Malimbus scutatus,32540,Malimbus scutatus,Red-vented Malimbe,Malimbus_scutatus,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Foudia sechellarum,32587,Foudia sechellarum,Seychelles Fody,Foudia_sechellarum,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Malimbus coronatus,32536,Malimbus coronatus,Red-crowned Malimbe,Malimbus_coronatus,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Malimbus rubricollis,32545,Malimbus rubricollis,Red-headed Malimbe,Malimbus_rubricollis,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Foudia rubra,32586,Foudia rubra,Mauritius Fody,Foudia_rubra,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Ploceus bicolor,32512,Ploceus bicolor;Malimbus bicolor,Forest Weaver,Ploceus_bicolor,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Plocepasser rufoscapulatus,32336,Plocepasser rufoscapulatus,Chestnut-backed Sparrow-weaver,Plocepasser_rufoscapulatus,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Plocepasser superciliosus,32334,Plocepasser superciliosus,Chestnut-crowned Sparrow-weaver,Plocepasser_superciliosus,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Malimbus erythrogaster,32552,Malimbus erythrogaster,Red-bellied Malimbe,Malimbus_erythrogaster,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Malimbus ballmanni,32539,Malimbus ballmanni,Gola Malimbe,Malimbus_ballmanni,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Plocepasser mahali,32327,Plocepasser mahali,White-browed Sparrow-weaver,Plocepasser_mahali,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Malimbus cassini,32537,Malimbus cassini,Black-throated Malimbe,Malimbus_cassini,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Malimbus racheliae,32538,Malimbus racheliae,Rachel's Malimbe,Malimbus_racheliae,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Malimbus ibadanensis,32543,Malimbus ibadanensis,Ibadan Malimbe,Malimbus_ibadanensis,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Malimbus nitens,32544,Malimbus nitens,Gray's Malimbe,Malimbus_nitens,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Ploceus nicolli,32527,Ploceus nicolli;Malimbus nicolli,Usambara Weaver,Ploceus_nicolli,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Plocepasser donaldsoni,32335,Plocepasser donaldsoni,Donaldson-Smith's Sparrow-weaver,Plocepasser_donaldsoni,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,PT_strong,,,,,,,,,,,,,strong,5,5,5
Ploceus nigerrimus,32461,Ploceus nigerrimus;Textor nigerrimus ,Vieillot's Black Weaver,Ploceus_nigerrimus,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Ploceus ocularis,32385,Ploceus ocularis;Textor ocularis ,Spectacled Weaver,Ploceus_ocularis,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5?,,,,none,5,5,5
Ploceus superciliosus,32496,Ploceus superciliosus;Pachyphantes superciliosus,Compact Weaver,Ploceus_superciliosus,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,"3, possibly 4",,,,none,5,5,5
Ploceus benghalensis,32497,Ploceus benghalensis,Black-breasted Weaver,Ploceus_benghalensis,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Ploceus capensis,32399,Ploceus capensis;Textor capensis ,Cape Weaver,Ploceus_capensis,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Ploceus bojeri,32413,Ploceus bojeri;Textor bojeri ,Golden Palm Weaver,Ploceus_bojeri,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Ploceus manyar,32498,Ploceus manyar,Streaked Weaver,Ploceus_manyar,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Ploceus galbula,32423,Ploceus galbula;Textor galbula ,Rueppell's Weaver,Ploceus_galbula,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Ploceus baglafecht,32365,Ploceus baglafecht;Textor baglafecht ,Baglafecht Weaver,Ploceus_baglafecht,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5?,,,,none,5,5,5
Ploceus preussi,32523,Ploceus preussi;Malimbus preussi,Preuss's Weaver,Ploceus_preussi,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5?,,,,none,5,5,5
Ploceus vitellinus,32446,Ploceus vitellinus;Textor vitellinus ,Vitelline Masked-weaver,Ploceus_vitellinus,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5?,,,,none,5,5,5
Ploceus hypoxanthus,32493,Ploceus hypoxanthus,Asian Golden Weaver,Ploceus_hypoxanthus,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Ploceus castaneiceps,32414,Ploceus castaneiceps;Textor castaneiceps ,Taveta Golden Weaver,Ploceus_castaneiceps,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Ploceus rubiginosus,32478,Ploceus rubiginosus;Textor rubiginosus ,Chestnut Weaver,Ploceus_rubiginosus,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Ploceus heuglini,32412,Ploceus heuglini;Textor heuglini ,Heuglin's Masked-weaver,Ploceus_heuglini,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Ploceus intermedius,32427,Ploceus intermedius;Textor intermedius ,Lesser Masked Weaver,Ploceus_intermedius,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Ploceus spekei,32449,Ploceus spekei;Textor spekei ,Speke's Weaver,Ploceus_spekei,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Ploceus megarhynchus,32509,Ploceus megarhynchus,Yellow Weaver,Ploceus_megarhynchus,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Ploceus xanthops,32408,Ploceus xanthops;Textor xanthops ,Holub's Golden Weaver,Ploceus_xanthops,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5?,,,,none,5,5,5
Ploceus melanocephalus,32468,Ploceus melanocephalus;Textor melanocephalus ,Black-headed Weaver,Ploceus_melanocephalus,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Philetairus socius,32343,Philetairus socius,Sociable Weaver,Philetairus_socius,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,1,,,,none,5,5,5
Ploceus jacksoni,32474,Ploceus jacksoni;Textor jacksoni ,Golden-backed Weaver,Ploceus_jacksoni,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Ploceus dorsomaculatus,32524,Ploceus dorsomaculatus;Malimbus dorsomaculatus,Yellow-capped Weaver,Ploceus_dorsomaculatus,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5?,,,,none,5,5,5
Anaplectes rubriceps,32559,Anaplectes rubriceps;Malimbus rubriceps  ,Red-headed Weaver,Anaplectes_rubriceps,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5?,,,,none,5,5,5
Ploceus nelicourvi,32489,Ploceus nelicourvi;Nelicurvius nelicourvi,Nelicourvi Weaver,Ploceus_nelicourvi,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5?,,,,none,5,5,5
Ploceus pelzelni,32378,Ploceus pelzelni;Textor pelzelni ,Slender-billed Weaver,Ploceus_pelzelni,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,"3, possibly 4",,,,none,5,5,5
Pseudonigrita arnaudi,32338,Pseudonigrita arnaudi;Philetairus arnaudi  ,Grey-headed Social-weaver,Pseudonigrita_arnaudi,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3 or 4,,,,none,5,5,5
Ploceus philippinus,32503,Ploceus philippinus,Baya Weaver,Ploceus_philippinus,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Ploceus melanogaster,32396,Ploceus melanogaster;Textor melanogaster ,Black-billed Weaver,Ploceus_melanogaster,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5?,,,,none,5,5,5
Ploceus sakalava,32490,Ploceus sakalava;Nelicurvius sakalava,Sakalava Weaver,Ploceus_sakalava,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Ploceus velatus,32431,Ploceus velatus;Textor velatus ,Southern Masked-weaver,Ploceus_velatus,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Ploceus nigricollis,32389,Ploceus nigricollis;Textor nigricollis ,Black-necked Weaver,Ploceus_nigricollis,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5?,,,,none,5,5,5
Ploceus castanops,32416,Ploceus castanops;Textor castanops ,Northern Brown-throated Weaver,Ploceus_castanops,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Ploceus taeniopterus,32424,Ploceus taeniopterus;Textor taeniopterus ,Northern Masked-weaver,Ploceus_taeniopterus,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,,,none,5,5,5
Euplectes nigroventris,32601,Euplectes nigroventris,Zanzibar Bishop,Euplectes_nigroventris,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,4,,,,weak,5,5,5
Quelea erythrops,32568,Quelea erythrops,Red-headed Quelea,Quelea_erythrops,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,"3, possibly 4",,,,weak,5,5,5
Euplectes ardens,32644,Euplectes ardens,Red-collared Widowbird,Euplectes_ardens,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,4,,,,weak,5,5,5
Euplectes psammocromius,32637,Euplectes psammacromius;Euplectes psammocromius,Buff-shouldered Widowbird,Euplectes_psammocromius,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,4,,,,weak,5,5,5
Euplectes albonotatus,32639,Euplectes albonotatus,White-winged Widowbird,Euplectes_albonotatus,Ploceidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,4,,,,weak,5,5,5
